,Model,Injury.Severity,Number.of.Engines
1387,S1B2,Non-Fatal,1.0
1389,DC-3A,Non-Fatal,2.0
1390,DC8-52,Non-Fatal,4.0
1392,S2R,Non-Fatal,1.0
1394,TEAL TSC-1A,Fatal(1),1.0
1396,SSW-DTV,Non-Fatal,1.0
1397,A55,Non-Fatal,0.0
1398,AR-58,Non-Fatal,1.0
1399,HM293,Non-Fatal,1.0
1402,TOO SA300,Fatal(1),1.0
1406,AA1B,Non-Fatal,1.0
1413,172N,Fatal(4),1.0
1414,181,Non-Fatal,1.0
1419,47G-5A,Non-Fatal,1.0
1424,T337C,Non-Fatal,2.0
1426,S-1 (BARTOE/SKYOTE),Non-Fatal,1.0
1427,PA-31-325,Incident,2.0
1428,7AC,Fatal(1),1.0
1430,RB-26C,Non-Fatal,1.0
1435,206B-III,Non-Fatal,1.0
1436,B-55,Fatal(5),2.0
1440,TERN II,Non-Fatal,0.0
1443,315B,Non-Fatal,1.0
1451,65-90,Non-Fatal,2.0
1452,170B,Fatal(1),1.0
1453,SKYBOLT,Fatal(1),1.0
1454,172L,Fatal(2),1.0
1456,PA-28-161,Fatal(2),1.0
1457,280,Non-Fatal,1.0
1458,PA-30,Fatal(2),2.0
1460,KR-2,Non-Fatal,1.0
1463,PA-32,Fatal(1),1.0
1464,KR-2,Fatal(2),1.0
1465,DC-3C,Non-Fatal,2.0
1466,PA-38,Fatal(2),1.0
1467,18,Incident,2.0
1471,7AC,Fatal(2),1.0
1475,140,Non-Fatal,2.0
1476,150F,Non-Fatal,2.0
1480,172M,Fatal(2),1.0
1484,DR-1,Non-Fatal,1.0
1490,25-235,Non-Fatal,1.0
1495,PA-18,Fatal(2),1.0
1503,T210M,Fatal(1),1.0
1504,7KCAB,Fatal(2),1.0
1505,K8B,Non-Fatal,0.0
1506,185E,Non-Fatal,1.0
1509,341G,Non-Fatal,1.0
1511,B-8M,Non-Fatal,1.0
1512,D-1,Fatal(2),2.0
1513,0-47B,Non-Fatal,1.0
1515,206-5,Non-Fatal,1.0
1516,AS350D,Non-Fatal,1.0
1521,23,Non-Fatal,2.0
1523,47G-3B,Non-Fatal,1.0
1526,210-5(205),Non-Fatal,1.0
1529,140,Fatal(4),1.0
1530,150L,Fatal(4),1.0
1532,MONG SPORT,Fatal(1),1.0
1533,SPORTSMAN,Non-Fatal,1.0
1535,A35,Non-Fatal,1.0
1538,MUSTANG,Non-Fatal,1.0
1540,M-20,Fatal(1),1.0
1543,64,Non-Fatal,1.0
1546,C-35,Non-Fatal,2.0
1547,IS-28B2,Non-Fatal,0.0
1551,FIREFLY 6,Non-Fatal,0.0
1557,C-3,Non-Fatal,1.0
1560,PA-23-160,Non-Fatal,2.0
1566,47G-3B-1,Fatal(1),1.0
1568,PA-32R-301,Fatal(3),1.0
1572,EL TOMCAT MK5A,Non-Fatal,1.0
1573,421,Non-Fatal,2.0
1574,22-160,Non-Fatal,1.0
1577,PA-28RT-201,Fatal(4),1.0
1580,SA 315B,Non-Fatal,1.0
1583,SGS-2-32-A,Non-Fatal,0.0
1586,75A,Non-Fatal,1.0
1587,SAC,Non-Fatal,1.0
1588,PA-32,Fatal(2),1.0
1590,F35,Non-Fatal,1.0
1592,T303,Non-Fatal,2.0
1600,H-18,Non-Fatal,2.0
1603,185F,Fatal(1),1.0
1605,AEROSTAR 601,Non-Fatal,2.0
1610,402C,Non-Fatal,2.0
1613,337,Non-Fatal,2.0
1616,BG-5,Non-Fatal,1.0
1618,73CA,Non-Fatal,1.0
1619,R182,Fatal(3),1.0
1621,180-2,Non-Fatal,1.0
1633,S-66A,Non-Fatal,0.0
1634,2-33A,Non-Fatal,0.0
1638,M20J,Incident,1.0
1639,0-77,Non-Fatal,0.0
1641,FIRFLY 7,Non-Fatal,0.0
1644,A75L300,Non-Fatal,1.0
1647,SUPER ACRO CUB,Non-Fatal,1.0
1651,S2R,Fatal(1),1.0
1654,PT-22,Fatal(1),1.0
1655,95-C55,Non-Fatal,2.0
1656,P210N,Fatal(1),1.0
1659,SA-315B,Non-Fatal,1.0
1661,2T-1A-2,Non-Fatal,1.0
1662,310P,Non-Fatal,2.0
1663,337B,Non-Fatal,2.0
1666,INTL S-2R,Non-Fatal,1.0
1668,DA-2A,Fatal(1),1.0
1670,PA-28-R-180,Non-Fatal,1.0
1678,PA-32RT-300T,Non-Fatal,1.0
1681,SA-316B,Fatal(3),1.0
1683,PA-14,Fatal(1),1.0
1689,SA-330J,Non-Fatal,2.0
1690,A-9,Non-Fatal,1.0
1691,V35B,Fatal(6),1.0
1693,PA-28-160,Non-Fatal,1.0
1694,SGS 1-34,Non-Fatal,0.0
1698,47J-2,Non-Fatal,1.0
1700,A-152,Non-Fatal,1.0
1702,172P ROBERTSON STOL,Non-Fatal,1.0
1705,600-S2C,Non-Fatal,1.0
1708,11AC,Fatal(3),1.0
1709,182,Fatal(3),1.0
1711,320B,Fatal(3),2.0
1719,PA-32-260,Fatal(1),1.0
1721,B8M,Non-Fatal,1.0
1725,REPUBLIC RC-3,Non-Fatal,1.0
1726,SA 315 B,Non-Fatal,1.0
1731,B-75,Non-Fatal,1.0
1732,ASCENDER,Fatal(1),1.0
1739,ST3KR (PT 21),Non-Fatal,1.0
1751,AA5A,Fatal(1),1.0
1757,S-2C,Non-Fatal,1.0
1762,150A,Non-Fatal,1.0
1766,301,Fatal(1),1.0
1770,AA1C,Non-Fatal,1.0
1771,PA-39,Non-Fatal,2.0
1776,SKYBABY,Non-Fatal,1.0
1779,UH-12L3,Non-Fatal,1.0
1781,QAC-1,Fatal(1),1.0
1782,V35B,Fatal(2),1.0
1784,M-5,Fatal(2),1.0
1786,AA-1C,Non-Fatal,1.0
1790,T310P,Non-Fatal,2.0
1793,369B,Non-Fatal,1.0
1795,EL TOMCAT-MK5A,Non-Fatal,1.0
1796,BN-2A,Non-Fatal,2.0
1797,S1-S,Fatal(1),1.0
1798,47G2A1,Incident,1.0
1799,SGS-1-36,Non-Fatal,0.0
1802,58P,Non-Fatal,2.0
1809,150J,Fatal(2),1.0
1810,UPF-7,Non-Fatal,1.0
1819,G-5,Fatal(1),1.0
1823,PA-24,Non-Fatal,1.0
1827,604,Non-Fatal,0.0
1828,AIRCAMPER,Non-Fatal,1.0
1829,PA-28-200R,Non-Fatal,1.0
1830,SA 316B,Non-Fatal,1.0
1833,DC-9-31,Incident,2.0
1834,727-233,Incident,3.0
1837,PA-28R-201T,Fatal(4),1.0
1838,60,Non-Fatal,2.0
1839,310I,Fatal(2),2.0
1842,B23,Non-Fatal,1.0
1844,HWW-75,Non-Fatal,1.0
1846,J3L-65S,Non-Fatal,1.0
1849,FIREFLY 7,Non-Fatal,0.0
1850,TUFTS T-3-160,Fatal(1),1.0
1871,727-235,Fatal(153),3.0
1872,RL4-1,Non-Fatal,1.0
1874,F28A,Non-Fatal,1.0
1875,305A,Non-Fatal,1.0
1877,N2S-1-A-75A,Non-Fatal,1.0
1878,PA28-201T,Non-Fatal,1.0
1879,P-210N,Non-Fatal,1.0
1886,AA-1B,Non-Fatal,1.0
1887,PA-28-180R,Non-Fatal,1.0
1888,D,Non-Fatal,1.0
1893,310,Non-Fatal,1.0
1896,PA-25,Fatal(1),1.0
1902,GC-1B,Non-Fatal,1.0
1905,212,Non-Fatal,2.0
1906,IS28B2,Non-Fatal,0.0
1907,AA-5B,Fatal(1),1.0
1911,24R-46A,Non-Fatal,1.0
1914,PA-25D-260,Non-Fatal,1.0
1926,RC-3,Non-Fatal,1.0
1932,MU-2B,Non-Fatal,2.0
1935,95-A55,Non-Fatal,2.0
1942,172F,Fatal(4),1.0
1943,177RG,Fatal(4),1.0
1945,17-31,Non-Fatal,1.0
1946,195,Fatal(1),1.0
1948,150D,Non-Fatal,1.0
1953,SA-318C,Non-Fatal,1.0
1957,177RG,Incident,1.0
1959,R172E,Non-Fatal,1.0
1960,AA-5,Non-Fatal,1.0
1962,A23,Non-Fatal,1.0
1964,PA-30-160,Non-Fatal,2.0
1968,T-210L,Fatal(1),1.0
1971,WINDWAGON,Fatal(1),1.0
1982,H-19,Non-Fatal,1.0
1984,C45G,Non-Fatal,2.0
1985,TR182,Fatal(5),1.0
1987,SPORT 1,Non-Fatal,1.0
1990,PA-32RT,Non-Fatal,1.0
1993,AMERICAN AA-1B,Non-Fatal,1.0
1994,AA-1,Non-Fatal,1.0
1996,269,Non-Fatal,1.0
1997,PA-28-161,Fatal(1),1.0
1998,204,Non-Fatal,1.0
2001,VJ-22,Non-Fatal,1.0
2004,PA-28-235D,Non-Fatal,1.0
2014,T337H,Non-Fatal,2.0
2021,E18S,Incident,2.0
2023,II,Non-Fatal,1.0
2024,PA-25-150,Fatal(1),1.0
2026,7,Non-Fatal,0.0
2031,VP-1,Fatal(1),1.0
2032,J35,Non-Fatal,1.0
2033,OH-13E,Non-Fatal,1.0
2034,PA-34-200T,Fatal(1),2.0
2035,T-18,Non-Fatal,1.0
2036,PA-32-301,Fatal(2),1.0
2037,150J,Fatal(1),1.0
2039,18,Fatal(2),1.0
2040,150L,Fatal(2),1.0
2041,SCORPION TOO,Fatal(1),1.0
2046,18,Non-Fatal,1.0
2049,S2S,Non-Fatal,1.0
2052,A152,Fatal(6),1.0
2053,172,Fatal(6),1.0
2055,28-140,Fatal(1),1.0
2056,PA-28-180,Fatal(2),1.0
2057,BU-131,Non-Fatal,1.0
2059,210K,Non-Fatal,1.0
2065,PA-38-112,Incident,1.0
2067,PA-601P,Fatal(2),2.0
2068,SKYBOLT,Non-Fatal,1.0
2071,A2,Non-Fatal,1.0
2073,206G,Non-Fatal,1.0
2075,UH-1B,Fatal(3),1.0
2077,24-140,Fatal(3),1.0
2078,A185F,Fatal(4),1.0
2079,S35,Fatal(2),1.0
2083,S.E. 5A,Non-Fatal,1.0
2088,2150,Non-Fatal,1.0
2089,ASW-20,Non-Fatal,0.0
2091,B-60,Non-Fatal,2.0
2099,182A,Fatal(4),1.0
2101,T-6G,Non-Fatal,1.0
2102,PA-18S,Non-Fatal,1.0
2104,THUNDERBOLT,Non-Fatal,1.0
2108,PA-23C-250,Non-Fatal,2.0
2114,415C,Non-Fatal,1.0
2117,28-181,Non-Fatal,1.0
2124,PA25-235C,Non-Fatal,1.0
2131,HAWK,Non-Fatal,1.0
2132,727-231,Incident,3.0
2133,C-414,Fatal(12),2.0
2135,369D,Fatal(1),1.0
2138,B99A,Non-Fatal,2.0
2139,ACAPELLA,Non-Fatal,1.0
2141,S.205-22/R,Non-Fatal,1.0
2146,UH1B,Non-Fatal,1.0
2149,LA-4-200,Fatal(1),1.0
2150,177,Fatal(1),1.0
2151,172N,Incident,1.0
2157,E-35,Non-Fatal,1.0
2158,T21OM,Non-Fatal,1.0
2161,185F,Non-Fatal,1.0
2163,F-280,Fatal(1),1.0
2166,B19,Fatal(1),1.0
2167,M20,Non-Fatal,1.0
2168,350D,Incident,1.0
2170,T-18,Fatal(2),1.0
2171,R172K,Non-Fatal,1.0
2175,180A,Non-Fatal,1.0
2179,150L,Fatal(1),1.0
2181,182P,Incident,1.0
2189,F28C,Non-Fatal,1.0
2190,C23,Fatal(1),1.0
2193,A23A,Non-Fatal,1.0
2195,2180,Non-Fatal,1.0
2197,PT-17,Non-Fatal,1.0
2198,2T-1A-2,Fatal(1),1.0
2200,680FL,Non-Fatal,2.0
2206,10A,Non-Fatal,1.0
2222,UH12D,Non-Fatal,1.0
2223,B,Fatal(3),1.0
2224,II,Fatal(3),1.0
2226,PA-24-180,Non-Fatal,1.0
2227,310C,Non-Fatal,2.0
2228,U206B,Non-Fatal,1.0
2234,M-4-210C,Non-Fatal,1.0
2237,95-B55,Fatal(2),2.0
2238,47G3B1,Non-Fatal,1.0
2241,J-3,Incident,1.0
2248,7GC,Non-Fatal,1.0
2250,PA-17,Non-Fatal,1.0
2252,MU-2B-25,Incident,2.0
2254,737-291,Incident,2.0
2259,A75-300N1,Non-Fatal,1.0
2260,RLU1,Non-Fatal,1.0
2261,T207,Non-Fatal,1.0
2263,65,Non-Fatal,2.0
2267,11BC,Non-Fatal,1.0
2273,195A,Non-Fatal,1.0
2276,R172K,Fatal(2),1.0
2282,PA-25-235,Incident,1.0
2289,PIK-20D,Fatal(1),0.0
2290,47G-3B-L,Fatal(1),1.0
2302,310R,Fatal(1),2.0
2313,F280,Non-Fatal,1.0
2318,SA-341G,Non-Fatal,1.0
2321,QUICKIE,Non-Fatal,1.0
2322,DH-114,Non-Fatal,4.0
2324,E55,Non-Fatal,2.0
2328,PA-25-260C,Non-Fatal,1.0
2329,F-28,Non-Fatal,1.0
2331,180H,Fatal(2),1.0
2333,PA32-300,Fatal(1),1.0
2337,210J,Fatal(2),1.0
2338,H35,Fatal(2),1.0
2341,500S,Non-Fatal,2.0
2344,337D,Non-Fatal,2.0
2349,E-33,Non-Fatal,1.0
2352,UH12L4,Non-Fatal,1.0
2357,207,Incident,1.0
2361,172F,Non-Fatal,1.0
2369,BIPLANE,Fatal(1),1.0
2377,VEE BEE 4,Non-Fatal,1.0
2380,C24R,Fatal(3),1.0
2382,LP-49MS,Non-Fatal,0.0
2385,58TC,Non-Fatal,2.0
2387,DCO-65,Non-Fatal,1.0
2392,PA-38,Non-Fatal,2.0
2394,421B,Incident,2.0
2405,336,Non-Fatal,2.0
2407,7ECA,Fatal(2),1.0
2409,AT-301A,Non-Fatal,1.0
2411,AT-6C,Non-Fatal,1.0
2413,152-II,Non-Fatal,1.0
2417,PA-32R-300,Non-Fatal,1.0
2419,PA-25-260,Non-Fatal,1.0
2420,A188A,Non-Fatal,1.0
2421,F-28F,Non-Fatal,1.0
2424,BL-65,Fatal(2),1.0
2427,MU-2B-20,Non-Fatal,2.0
2433,MINIPLANE,Fatal(1),1.0
2434,A.O.P.6,Non-Fatal,1.0
2441,18A,Non-Fatal,1.0
2445,MXII,Non-Fatal,1.0
2448,BE-33,Non-Fatal,1.0
2450,BEE DEE M-4,Non-Fatal,1.0
2453,47G-4A,Non-Fatal,1.0
2454,CASSUTT,Non-Fatal,1.0
2456,DC-10-30F,Incident,3.0
2458,MIDGET MUSTANG,Non-Fatal,1.0
2460,AT-6A,Non-Fatal,1.0
2466,65-TC,Non-Fatal,1.0
2468,150-J,Non-Fatal,1.0
2469,C24R,Non-Fatal,1.0
2470,M-20F,Non-Fatal,1.0
2476,BC-12-65,Fatal(1),1.0
2478,RX-7,Non-Fatal,0.0
2480,M-5,Fatal(1),1.0
2482,DG-1,Non-Fatal,1.0
2483,152A,Non-Fatal,1.0
2484,190,Non-Fatal,1.0
2493,M-6-235,Fatal(4),1.0
2494,S-2R,Fatal(2),1.0
2496,PA-28R,Fatal(3),1.0
2497,PA-22-135,Non-Fatal,1.0
2499,AT-400,Fatal(2),1.0
2501,AS-355F,Non-Fatal,2.0
2502,401A,Non-Fatal,2.0
2503,C-47,Non-Fatal,2.0
2504,415C,Fatal(2),1.0
2505,182R,Fatal(2),1.0
2510,7GCAA,Fatal(2),1.0
2512,C23,Incident,1.0
2513,206B,Incident,1.0
2523,FH 1100,Non-Fatal,1.0
2525,T207A,Non-Fatal,1.0
2526,112A,Non-Fatal,1.0
2531,TU206,Non-Fatal,1.0
2536,G-164C,Non-Fatal,1.0
2541,B8M,Fatal(1),1.0
2546,180G,Non-Fatal,1.0
2552,183P,Non-Fatal,1.0
2558,PDQ-II,Non-Fatal,1.0
2560,PA-28R-200,Fatal(4),1.0
2561,T310R,Fatal(2),2.0
2562,310Q,Fatal(1),2.0
2565,PA-28R-201T,Fatal(1),1.0
2566,150M,Fatal(2),1.0
2569,84,Non-Fatal,0.0
2574,301A,Non-Fatal,1.0
2576,A185F,Fatal(1),1.0
2586,G18S,Non-Fatal,2.0
2590,U206F,Non-Fatal,1.0
2594,DHC-3,Non-Fatal,1.0
2598,SA-226TC,Incident,2.0
2611,PA-31-350,Fatal(2),2.0
2612,7EC,Fatal(2),1.0
2613,206-L,Non-Fatal,1.0
2614,727,Incident,3.0
2617,BREEZY RLV-1,Non-Fatal,1.0
2620,J-3C65,Non-Fatal,1.0
2622,188T,Non-Fatal,1.0
2623,12B,Non-Fatal,1.0
2625,402,Non-Fatal,2.0
2637,HAMLIN,Fatal(2),1.0
2639,AA1,Fatal(1),1.0
2640,PA-28140C,Non-Fatal,1.0
2641,170A,Fatal(3),1.0
2642,SGS 1-26B,Non-Fatal,0.0
2645,BD-2,Non-Fatal,1.0
2646,J-3 C65,Non-Fatal,1.0
2648,310A,Non-Fatal,2.0
2650,M-5,Non-Fatal,1.0
2651,PA-32-300,Fatal(2),1.0
2654,VENTUS,Non-Fatal,0.0
2657,PA-20,Fatal(2),1.0
2668,207A,Non-Fatal,1.0
2669,TRI82,Fatal(2),1.0
2670,210A,Fatal(2),1.0
2673,112TC,Non-Fatal,1.0
2674,28-236,Fatal(2),1.0
2676,PA32-301,Non-Fatal,1.0
2678,681,Non-Fatal,2.0
2681,BEAVER U-64,Non-Fatal,1.0
2682,UH-12-SOLOY,Non-Fatal,1.0
2684,421C,Incident,2.0
2687,150B,Non-Fatal,1.0
2692,S55,Non-Fatal,0.0
2702,R-22 HP,Non-Fatal,1.0
2706,31,Non-Fatal,1.0
2709,108,Non-Fatal,1.0
2714,232,Fatal(1),0.0
2715,M20E,Fatal(2),1.0
2716,PA-28R-201,Fatal(2),1.0
2718,M20B,Non-Fatal,1.0
2723,112,Non-Fatal,1.0
2727,F-51D,Fatal(2),1.0
2729,MARK II,Fatal(1),1.0
2730,PA-28R-180,Fatal(4),1.0
2733,STARDUSTER TOO,Non-Fatal,1.0
2734,150C,Non-Fatal,1.0
2735,PA 25-235,Non-Fatal,1.0
2739,MU-2B-25,Fatal(6),2.0
2745,RLU-1,Non-Fatal,1.0
2748,RUTAN,Non-Fatal,1.0
2752,47G4,Non-Fatal,1.0
2756,PA-25,Non-Fatal,1.0
2757,DHC-II,Fatal(2),1.0
2758,PA-28-180C,Fatal(1),1.0
2765,172P,Fatal(2),1.0
2766,PA-34-22OT,Incident,2.0
2773,PA-24-260,Fatal(3),1.0
2775,H35,Fatal(1),1.0
2777,AA5B,Fatal(3),1.0
2783,210L,Fatal(2),1.0
2785,C-U206F,Fatal(4),1.0
2787,205A,Non-Fatal,1.0
2789,200,Fatal(2),2.0
2795,182P,Fatal(4),1.0
2796,K35,Non-Fatal,1.0
2797,SENIOR AERO,Fatal(2),1.0
2806,C-180J,Non-Fatal,1.0
2807,U206A,Non-Fatal,1.0
2808,PA-36-375,Non-Fatal,1.0
2809,P-51D,Non-Fatal,1.0
2810,AIRSPEED,Fatal(1),1.0
2812,AT-6D,Non-Fatal,1.0
2816,PA-28181,Non-Fatal,1.0
2819,N3N-3,Non-Fatal,1.0
2821,TSC-1A,Non-Fatal,1.0
2826,PA-30F,Non-Fatal,2.0
2827,501SP,Non-Fatal,2.0
2831,C-207,Incident,1.0
2832,U206 G,Fatal(4),1.0
2838,222,Fatal(1),2.0
2839,C33,Non-Fatal,1.0
2840,J3,Fatal(1),1.0
2841,108-2,Non-Fatal,1.0
2842,14-13-2,Non-Fatal,1.0
2846,A185,Non-Fatal,1.0
2849,PA-32R-301T,Fatal(1),1.0
2860,MOSQUITO,Non-Fatal,0.0
2863,421B,Fatal(1),2.0
2865,58P,Fatal(1),2.0
2866,PA-28-181,Fatal(2),1.0
2867,421A,Non-Fatal,2.0
2868,SC 1,Non-Fatal,1.0
2872,GOLDWING,Non-Fatal,1.0
2874,II,Fatal(1),1.0
2875,340A,Fatal(1),2.0
2877,TR-182,Non-Fatal,1.0
2879,SCAMP B,Non-Fatal,1.0
2881,305A,Fatal(2),1.0
2882,PA-32-R-300,Fatal(5),1.0
2883,172H,Fatal(4),1.0
2885,520,Fatal(3),2.0
2889,SNJ-6,Non-Fatal,1.0
2890,KB-2,Fatal(1),1.0
2892,FALCON AA-1A,Non-Fatal,1.0
2893,Q2,Non-Fatal,1.0
2897,M-20K,Fatal(1),1.0
2901,C45H,Non-Fatal,2.0
2904,C-82A,Non-Fatal,2.0
2908,G,Non-Fatal,1.0
2914,76,Non-Fatal,2.0
2916,214ST,Incident,2.0
2917,177B,Fatal(2),1.0
2918,R-22,Fatal(1),1.0
2920,PA31-350,Incident,2.0
2923,PA32RT-300,Non-Fatal,1.0
2928,PA-25-180,Non-Fatal,1.0
2930,PA-28-181,Fatal(1),1.0
2931,GYROCOPTER,Non-Fatal,1.0
2933,PA-32-301,Non-Fatal,1.0
2934,35-C33,Non-Fatal,1.0
2940,PA-32-300,Incident,1.0
2945,STINSON 108,Non-Fatal,1.0
2948,C-45G,Fatal(3),2.0
2949,95-55,Fatal(5),2.0
2950,727-225A,Incident,3.0
2951,C-7,Fatal(3),0.0
2953,SGS1-26,Non-Fatal,0.0
2961,180K II,Non-Fatal,1.0
2962,AX-6,Non-Fatal,0.0
2964,AX9-140,Fatal(4),0.0
2973,24,Non-Fatal,1.0
2974,TH-55A,Non-Fatal,1.0
2979,47G3B,Non-Fatal,1.0
2982,PA-28-140B,Non-Fatal,1.0
2987,PA-23-250,Fatal(2),2.0
2991,KR2,Non-Fatal,1.0
2997,PA-20-A,Non-Fatal,1.0
3004,172G,Fatal(1),1.0
3013,S35,Non-Fatal,1.0
3016,150,Fatal(2),1.0
3017,7GCBC,Fatal(1),1.0
3020,SWIFT GC-1B,Non-Fatal,1.0
3024,A35,Fatal(4),1.0
3028,A24R,Fatal(1),1.0
3031,SRE,Non-Fatal,1.0
3032,414A,Non-Fatal,2.0
3033,MINI,Non-Fatal,1.0
3035,UH-12C,Non-Fatal,1.0
3042,107,Fatal(2),2.0
3044,T-8F,Fatal(2),1.0
3049,MK68,Non-Fatal,1.0
3054,SA-226TC,Non-Fatal,2.0
3057,1A,Fatal(1),1.0
3059,182P,Fatal(1),1.0
3060,E17L,Non-Fatal,1.0
3061,VP-2,Non-Fatal,1.0
3065,PA28-180,Non-Fatal,1.0
3066,C-45H,Fatal(14),2.0
3068,SGS2-33AK,Non-Fatal,0.0
3070,MINIPLANE,Non-Fatal,1.0
3074,SA227-AC,Non-Fatal,2.0
3076,DC-9-30,Incident,2.0
3077,18,Fatal(3),2.0
3079,BC12-65,Non-Fatal,1.0
3080,AA-1B,Fatal(1),1.0
3084,172PII,Non-Fatal,1.0
3089,R182,Fatal(1),1.0
3091,F17D,Non-Fatal,1.0
3093,B-23,Fatal(1),1.0
3094,PA-31,Fatal(8),2.0
3097,CRAIGCRAFT,Non-Fatal,1.0
3102,MX-II,Non-Fatal,1.0
3103,PA-18-125,Non-Fatal,1.0
3105,320E,Fatal(2),2.0
3106,VARI-EZE,Fatal(1),1.0
3107,305,Non-Fatal,1.0
3108,HOBBS B8M,Fatal(1),1.0
3109,H35,Non-Fatal,1.0
3110,F-51D,Non-Fatal,1.0
3113,PA-28-181,Fatal(4),1.0
3121,J-3,Non-Fatal,1.0
3122,172E,Incident,1.0
3126,111M,Fatal(1),1.0
3129,DRAGONFLY,Non-Fatal,1.0
3130,DHC-3,Incident,1.0
3133,TWO,Non-Fatal,1.0
3134,337G,Fatal(4),2.0
3135,PA-31P,Fatal(4),2.0
3139,UH-1B,Non-Fatal,1.0
3140,E90,Incident,2.0
3141,B99,Incident,2.0
3146,601P,Fatal(1),2.0
3154,PA-28-140,Fatal(3),1.0
3155,13,Non-Fatal,1.0
3165,M-62A-3,Non-Fatal,1.0
3167,EXECUTIVE,Non-Fatal,1.0
3168,JAYHAWK,Fatal(1),1.0
3170,SC7 SERIES 3,Incident,2.0
3173,B90,Non-Fatal,2.0
3177,737-200,Non-Fatal,2.0
3178,PA-34-220T,Fatal(4),2.0
3179,PA-34-200T,Fatal(4),2.0
3185,PA28-140,Non-Fatal,1.0
3186,210E,Non-Fatal,1.0
3187,50,Non-Fatal,2.0
3189,172P,Fatal(6),1.0
3192,C-82,Non-Fatal,2.0
3193,65-B80,Fatal(3),2.0
3194,PA-30,Non-Fatal,1.0
3196,182D,Non-Fatal,1.0
3200,180B,Fatal(1),1.0
3201,LS-1D,Non-Fatal,0.0
3202,25,Non-Fatal,2.0
3211,T210,Non-Fatal,1.0
3212,G35,Non-Fatal,1.0
3213,J3C-65,Fatal(2),1.0
3214,24D,Non-Fatal,2.0
3215,M-II,Non-Fatal,1.0
3216,S1,Non-Fatal,1.0
3217,AA1,Non-Fatal,1.0
3219,M8M,Non-Fatal,1.0
3222,310H,Fatal(1),2.0
3226,GA-7,Fatal(1),2.0
3227,182A,Fatal(1),1.0
3228,S350D,Fatal(2),1.0
3231,A23,Fatal(1),1.0
3233,T337D,Fatal(1),2.0
3235,PA-24-260,Non-Fatal,1.0
3238,PA23-250,Fatal(2),2.0
3239,340,Incident,2.0
3241,C152,Non-Fatal,1.0
3247,707-300,Fatal(1),4.0
3251,MU-2B-60,Non-Fatal,2.0
3253,601P,Fatal(2),2.0
3254,PA-31-350,Fatal(1),2.0
3260,411A,Non-Fatal,2.0
3263,AA5A,Non-Fatal,1.0
3264,QUICKIE Q2,Non-Fatal,1.0
3265,185,Incident,1.0
3266,PA-31-310,Fatal(8),2.0
3269,7FC,Non-Fatal,1.0
3272,680,Non-Fatal,2.0
3274,28-140,Non-Fatal,1.0
3276,G18S,Incident,2.0
3292,551,Fatal(3),2.0
3295,22,Non-Fatal,1.0
3296,DC-10,Non-Fatal,3.0
3298,172RG,Incident,1.0
3299,P206B,Fatal(5),1.0
3300,182L,Fatal(1),1.0
3302,PA-44-180,Fatal(1),2.0
3303,PA-24-260,Fatal(1),1.0
3305,T-337C,Non-Fatal,2.0
3307,TU206G,Fatal(1),1.0
3311,560E,Fatal(3),2.0
3312,182Q,Fatal(3),1.0
3314,411,Fatal(2),2.0
3315,680W,Non-Fatal,2.0
3319,AT-6G,Non-Fatal,1.0
3324,PA-22-135,Fatal(1),1.0
3334,108,Fatal(2),1.0
3335,727-223,Incident,3.0
3336,133,Fatal(2),1.0
3338,206,Non-Fatal,2.0
3340,CHAMP,Non-Fatal,1.0
3347,17-30A,Fatal(4),1.0
3348,T210M,Fatal(3),1.0
3352,172K,Fatal(3),1.0
3354,182Q,Fatal(5),1.0
3355,PA28-18,Non-Fatal,1.0
3359,PA-14,Non-Fatal,1.0
3360,M-5-220C,Non-Fatal,1.0
3363,700,Non-Fatal,2.0
3370,11CC,Fatal(2),1.0
3374,707-323C,Non-Fatal,4.0
3375,PA-34,Fatal(2),2.0
3379,T210L,Fatal(2),1.0
3380,PA-28R,Fatal(2),1.0
3382,172J,Non-Fatal,1.0
3386,C23,Fatal(2),1.0
3388,P210,Fatal(2),1.0
3391,F-27-100,Non-Fatal,2.0
3392,DC-9-51,Incident,2.0
3393,PA-32-260,Fatal(3),1.0
3398,PA-32-300,Fatal(1),1.0
3399,412,Incident,2.0
3400,PA-24-250,Fatal(2),1.0
3407,M22,Non-Fatal,1.0
3408,206L1,Fatal(2),1.0
3410,HAWK,Fatal(1),1.0
3411,32RT-300T,Non-Fatal,1.0
3413,195B,Non-Fatal,1.0
3415,RUATAN,Fatal(1),1.0
3416,PA-23-250,Incident,2.0
3417,737-201,Incident,2.0
3423,727-225,Incident,3.0
3434,SA-227AC,Fatal(2),2.0
3435,G-159,Incident,2.0
3436,SA226-T,Non-Fatal,2.0
3438,PA-601P,Fatal(3),2.0
3440,TH-13T,Non-Fatal,1.0
3443,SPECIAL 51C,Non-Fatal,1.0
3444,DHC-2,Fatal(8),1.0
3445,551,Incident,2.0
3447,737-291,Non-Fatal,2.0
3449,S1C,Non-Fatal,1.0
3452,A-36,Non-Fatal,1.0
3453,T182RG,Fatal(1),1.0
3454,35A,Incident,2.0
3457,L-2,Non-Fatal,1.0
3460,421B,Fatal(4),2.0
3470,AERO SPORT SCAMP,Non-Fatal,1.0
3472,CONDOR,Non-Fatal,1.0
3479,100,Incident,2.0
3484,K35,Fatal(1),1.0
