,Make,Injury.Severity,Number.of.Engines,Engine.Type
3508,Norman Negus,Non-Fatal,1.0,Reciprocating
3509,Scorpion Too,Fatal(1),1.0,Reciprocating
3559,Piper,Fatal(7),1.0,Reciprocating
3578,Mcdonnell-douglas,Incident,3.0,Turbo Fan
3620,Canadair,Fatal(2),2.0,Turbo Fan
3625,Javelin Aircraft,Fatal(2),1.0,Reciprocating
3638,Teal,Fatal(1),1.0,Reciprocating
3665,Beech,Fatal(7),2.0,Reciprocating
3669,Mcdonnell Douglas,Fatal(7),2.0,Turbo Jet
3670,Willbird,Non-Fatal,1.0,Reciprocating
3671,Convair,Fatal(1),2.0,Reciprocating
3677,Mcdonnell Douglas,Fatal(3),4.0,Turbo Fan
3680,Lockheed,Non-Fatal,2.0,Reciprocating
3686,Mcdonnell Douglas,Incident,3.0,Turbo Jet
3721,Beech,Fatal(1),2.0,Turbo Prop
3723,Israel Aircraft Industries,Non-Fatal,2.0,Turbo Fan
3742,Cromwell/pitts,Fatal(1),1.0,Reciprocating
3749,"Smith, Ted Aerostar",Incident,2.0,Reciprocating
3757,Obryon,Non-Fatal,1.0,Reciprocating
3775,Rockwell,Non-Fatal,2.0,Reciprocating
3778,Mbb,Fatal(1),1.0,Reciprocating
3788,Pace,Non-Fatal,1.0,Reciprocating
3800,Bellanca,Fatal(3),1.0,Reciprocating
3805,Aero Commander,Fatal(2),2.0,Reciprocating
3809,Bensen,Fatal(1),1.0,Reciprocating
3835,Navion,Fatal(2),1.0,Reciprocating
3863,North American,Fatal(1),1.0,Reciprocating
3878,Rockwell,Fatal(2),2.0,Turbo Prop
3883,John Tylenda,Non-Fatal,1.0,Reciprocating
3909,Monnett,Non-Fatal,1.0,Reciprocating
3910,Piper,Fatal(5),2.0,Reciprocating
3945,Beech,Fatal(5),1.0,Reciprocating
3951,Scheibe Flugzeugbau,Non-Fatal,0.0,Unknown
3955,Eagle (ultralight),Fatal(1),1.0,Reciprocating
3983,Douglas,Non-Fatal,4.0,Reciprocating
3993,Ayres,Fatal(1),1.0,Reciprocating
3997,Harrison Volmer,Non-Fatal,1.0,Reciprocating
4003,Hughes,Fatal(2),1.0,Reciprocating
4010,Dodd,Fatal(1),1.0,Reciprocating
4012,Varieze,Non-Fatal,1.0,Reciprocating
4030,Thorp,Fatal(1),1.0,Reciprocating
4034,Douglas,Fatal(1),2.0,Reciprocating
4036,Beckner,Non-Fatal,1.0,Reciprocating
4039,Glasair,Fatal(1),1.0,Reciprocating
4044,Rand Kr1,Non-Fatal,1.0,Reciprocating
4080,Mcdonnell Douglas,Incident,4.0,Turbo Jet
4081,Ryan,Fatal(2),1.0,Reciprocating
4083,Rotec,Non-Fatal,1.0,Reciprocating
4084,Vans Aircraft,Non-Fatal,1.0,Reciprocating
4093,Burkhart Grob,Non-Fatal,0.0,Unknown
4096,Homebuilt,Fatal(1),1.0,Reciprocating
4104,Eaa Biplane,Fatal(1),1.0,Reciprocating
4113,Gray,Non-Fatal,1.0,Reciprocating
4118,Brown,Non-Fatal,1.0,Reciprocating
4122,Weedhopper,Non-Fatal,1.0,Reciprocating
4127,Aero Commander,Incident,2.0,Turbo Prop
4131,Rockwell,Non-Fatal,1.0,Turbo Prop
4135,Gulfstream,Non-Fatal,2.0,Turbo Prop
4148,Mitsubishi,Fatal(2),2.0,Turbo Prop
4162,Gemini Int'l.,Non-Fatal,2.0,Reciprocating
4164,Molino Oy,Non-Fatal,0.0,Unknown
4174,Manta,Fatal(1),1.0,Reciprocating
4177,Waspair,Non-Fatal,1.0,Reciprocating
4178,Britten-norman,Incident,3.0,Reciprocating
4187,Consolidated-vultee,Non-Fatal,2.0,Reciprocating
4189,Boeing,Non-Fatal,2.0,Turbo Jet
4196,Douglas,Incident,2.0,Reciprocating
4197,Murrayair,Fatal(1),1.0,Reciprocating
4199,Mitsubishi,Fatal(4),2.0,Turbo Prop
4206,Kit Built (rotorway),Fatal(1),1.0,Reciprocating
4214,Ware Teenie,Non-Fatal,1.0,Reciprocating
4217,Eagle Aircraft Co.,Non-Fatal,1.0,Reciprocating
4247,Champion,Fatal(1),1.0,Reciprocating
4250,Gates Learjet,Fatal(2),2.0,Turbo Jet
4269,"Anderson, Greenwood",Non-Fatal,1.0,Reciprocating
4273,Cessna,Fatal(4),2.0,Turbo Fan
4275,Continental Copters,Non-Fatal,1.0,Reciprocating
4280,Partenavia,Non-Fatal,2.0,Reciprocating
4281,Glasair,Fatal(2),1.0,Reciprocating
4282,Cgs,Non-Fatal,1.0,Reciprocating
4300,Gates Learjet,Incident,2.0,Turbo Fan
4311,Ercoupe (eng & Research Corp.),Non-Fatal,1.0,Reciprocating
4316,Mitchell,Fatal(1),1.0,Reciprocating
4323,Gates Learjet,Non-Fatal,2.0,Turbo Fan
4326,Wizard,Fatal(1),1.0,Reciprocating
4330,Britten-norman,Fatal(2),2.0,Reciprocating
4332,Piper,Fatal(6),1.0,Reciprocating
4347,Wizard,Non-Fatal,1.0,Reciprocating
4348,Walston,Non-Fatal,1.0,Reciprocating
4359,Pteradactyl,Fatal(1),1.0,Reciprocating
4372,Spencer,Non-Fatal,1.0,Reciprocating
4377,Rotec,Fatal(1),1.0,Reciprocating
4395,Breezy,Fatal(1),1.0,Reciprocating
4405,Douglas,Incident,4.0,Turbo Fan
4406,Brantly Helicopter,Non-Fatal,1.0,Reciprocating
4435,Logan,Non-Fatal,1.0,Reciprocating
4499,Hiller,Fatal(2),1.0,Turbo Shaft
4508,Tuk Gregory,Non-Fatal,1.0,Reciprocating
4509,Airmass,Fatal(1),1.0,Reciprocating
4520,Swift,Non-Fatal,1.0,Reciprocating
4523,Ultralight Flight,Non-Fatal,1.0,Reciprocating
4525,Carter,Non-Fatal,1.0,Reciprocating
4536,Bell,Fatal(2),1.0,Reciprocating
4556,Rietman,Fatal(1),1.0,Reciprocating
4564,Boland,Non-Fatal,1.0,Reciprocating
4568,North American Rockwell Corp.,Non-Fatal,1.0,Reciprocating
4571,Brantly Helicopter,Fatal(1),1.0,Reciprocating
4579,Holmes,Non-Fatal,1.0,Reciprocating
4587,Fairchild Swearingen,Incident,2.0,Turbo Prop
4591,Aero Commander,Incident,2.0,Reciprocating
4599,Eippen Aircraft,Non-Fatal,1.0,Reciprocating
4609,Goldwing,Non-Fatal,1.0,Reciprocating
4621,Skypower,Non-Fatal,0.0,Unknown
4630,Vector,Fatal(1),1.0,Reciprocating
4631,Rogers,Non-Fatal,1.0,Reciprocating
4648,Cummings Quickie,Non-Fatal,1.0,Reciprocating
4661,Forney,Non-Fatal,1.0,Reciprocating
4672,Eipper,Non-Fatal,1.0,Reciprocating
4706,Aerospatiale,Fatal(1),1.0,Turbo Shaft
4726,Weedhopper,Fatal(1),1.0,Reciprocating
4733,Sud Aviation,Non-Fatal,1.0,Turbo Shaft
4736,Robertson,Fatal(1),1.0,Reciprocating
4738,Intl Ultralight,Fatal(1),1.0,Reciprocating
4754,Parson,Fatal(1),1.0,Reciprocating
4756,Aircoupe,Non-Fatal,1.0,Reciprocating
4763,Herpst,Fatal(2),1.0,Reciprocating
4781,Grumman-schweizer,Fatal(1),1.0,Turbo Prop
4782,Siai-marchetti,Non-Fatal,1.0,Reciprocating
4799,Lockheed,Incident,3.0,Turbo Jet
4818,Ryan-navion,Non-Fatal,1.0,Reciprocating
4845,Beech,Incident,2.0,Turbo Shaft
4855,Ultralight Engineering,Fatal(1),1.0,Reciprocating
4856,Eipper,Fatal(1),1.0,Reciprocating
4861,Champion,Non-Fatal,2.0,Reciprocating
4862,Artic Aircraft Corp.,Non-Fatal,1.0,Reciprocating
4875,Boeing Vertol,Incident,2.0,Turbo Shaft
4877,Mcdonald,Non-Fatal,1.0,Reciprocating
4883,Grumman,Incident,1.0,Reciprocating
4888,Douglas,Fatal(23),2.0,Turbo Fan
4900,Yarnell,Fatal(1),1.0,Reciprocating
4904,Barnstormer,Non-Fatal,1.0,Reciprocating
4914,Link-johnson-chessman,Fatal(1),0.0,Unknown
4916,"Rotec Engineering, Inc.",Non-Fatal,1.0,Reciprocating
4919,Sunburst,Non-Fatal,1.0,Reciprocating
4926,Burkhart Grob,Non-Fatal,1.0,Reciprocating
4928,Dg,Non-Fatal,1.0,Reciprocating
4931,Johnson,Non-Fatal,1.0,Reciprocating
4963,Sunburst,Non-Fatal,1.0,Unknown
4971,Texas Helicopter,Non-Fatal,1.0,Reciprocating
4977,Lockheed,Non-Fatal,4.0,Turbo Prop
4980,Air Tractor,Fatal(1),1.0,Turbo Prop
4990,Learjet,Non-Fatal,2.0,Turbo Fan
4999,Let,Non-Fatal,0.0,Unknown
5014,Dial-thorp,Fatal(1),1.0,Reciprocating
5029,Para-sail,Non-Fatal,1.0,Reciprocating
5033,Aerospatiale,Incident,2.0,Turbo Shaft
5038,Lombard Dilley,Non-Fatal,1.0,Reciprocating
5047,Meyers Aircraft Co.,Non-Fatal,1.0,Reciprocating
5085,Mareik-bensen,Fatal(1),1.0,Reciprocating
5109,Eastern Ultralight,Non-Fatal,1.0,Reciprocating
5139,Stolp,Fatal(2),1.0,Reciprocating
5141,B??lkow,Non-Fatal,1.0,Reciprocating
5153,Lockheed,Fatal(2),2.0,Reciprocating
5155,Mbb,Non-Fatal,2.0,Turbo Shaft
5161,Garlick,Non-Fatal,1.0,Turbo Shaft
5163,Mcdonnell Douglas,Incident,2.0,Turbo Jet
5165,"Smith, Ted Aerostar",Fatal(1),2.0,Reciprocating
5174,Eipper Formance,Non-Fatal,1.0,Reciprocating
5182,Prout,Fatal(2),1.0,Reciprocating
5183,Kate,Non-Fatal,1.0,Reciprocating
5187,Smith-poston,Non-Fatal,1.0,Reciprocating
5193,American Aerolights,Fatal(1),1.0,Reciprocating
5233,Aleson,Non-Fatal,1.0,Reciprocating
5237,Bowlin,Non-Fatal,1.0,Reciprocating
5238,Monnett - Larsen,Fatal(1),1.0,Reciprocating
5240,Beech,Fatal(2),2.0,Turbo Jet
5246,Thorpe,Non-Fatal,1.0,Reciprocating
5273,"Smith, Ted Aerostar",Non-Fatal,2.0,Reciprocating
5285,Hamilton,Fatal(2),1.0,Reciprocating
5286,Douglas,Incident,4.0,Reciprocating
5300,Long,Fatal(2),1.0,Reciprocating
5302,Twitchell,Fatal(2),1.0,Reciprocating
5303,Clark,Fatal(1),1.0,Reciprocating
5306,Rotec/botsford,Non-Fatal,1.0,Reciprocating
5312,Eiriavion Oy,Non-Fatal,1.0,Reciprocating
5321,American Aerolights,Non-Fatal,1.0,Reciprocating
5336,Vans-rupert,Fatal(1),1.0,Reciprocating
5340,Mattison,Non-Fatal,1.0,Reciprocating
5360,Fairchild,Incident,3.0,Reciprocating
5370,Gilbert L. Houston,Non-Fatal,1.0,Reciprocating
5372,Texas Helicopter,Fatal(1),1.0,Reciprocating
5392,Eames,Non-Fatal,1.0,Reciprocating
5395,Viking,Non-Fatal,1.0,Reciprocating
5397,Pterodactyl,Non-Fatal,1.0,Reciprocating
5412,Curtiss,Non-Fatal,2.0,Reciprocating
5425,Wsk Pzl Mielec,Non-Fatal,1.0,Reciprocating
5433,Rockwell,Non-Fatal,2.0,Turbo Fan
5445,Rolladen-schneider,Fatal(1),0.0,Unknown
5461,J. Roberts,Non-Fatal,1.0,Reciprocating
5468,Grumman,Non-Fatal,2.0,Turbo Prop
5483,Sportavia-putzer,Non-Fatal,1.0,Reciprocating
5484,Gyaki,Non-Fatal,1.0,Reciprocating
5505,Easy Riser,Fatal(1),1.0,Reciprocating
5516,American Eagle,Fatal(2),1.0,Reciprocating
5520,Hackett/mckown,Non-Fatal,1.0,Reciprocating
5522,E.r. Hutson,Non-Fatal,1.0,Reciprocating
5527,Helio,Fatal(1),1.0,Reciprocating
5528,Hughes,Fatal(1),1.0,Reciprocating
5530,Aero Commander,Fatal(6),2.0,Reciprocating
5531,Condor Ii,Fatal(1),1.0,Reciprocating
5541,Finamore,Non-Fatal,1.0,Reciprocating
5549,Sopwith,Fatal(1),1.0,Reciprocating
5551,Bell,Fatal(4),1.0,Turbo Shaft
5558,Breezy Rlu,Non-Fatal,1.0,Reciprocating
5560,Ayres,Non-Fatal,1.0,Turbo Prop
5568,Rand Robinson,Fatal(1),1.0,Reciprocating
5570,Dimaria,Non-Fatal,1.0,Reciprocating
5617,North American Rockwell Corp.,Fatal(2),2.0,Reciprocating
5618,Fairchild Hiller,Fatal(2),1.0,Turbo Shaft
5621,Vangrunsven,Non-Fatal,1.0,Reciprocating
5625,Schippers,Non-Fatal,1.0,Reciprocating
5631,Kane,Non-Fatal,1.0,Reciprocating
5638,Pietenpal,Non-Fatal,1.0,Reciprocating
5643,Chamberlain,Fatal(1),1.0,Reciprocating
5646,Cessna,Non-Fatal,4.0,Reciprocating
5648,Grumman,Fatal(1),2.0,Reciprocating
5664,Monke,Non-Fatal,1.0,Reciprocating
5665,Trager,Non-Fatal,1.0,Reciprocating
5668,Pestes,Fatal(1),1.0,Reciprocating
5679,Grau,Fatal(1),1.0,Reciprocating
5694,Fisher,Non-Fatal,1.0,Reciprocating
5702,Swain,Non-Fatal,1.0,Reciprocating
5713,Naval Aircraft Factory,Non-Fatal,1.0,Reciprocating
5715,Black,Fatal(1),1.0,Reciprocating
5726,Boeing,Non-Fatal,4.0,Unknown
5751,Zenair,Non-Fatal,2.0,Reciprocating
5752,Pietonpol-imrie,Fatal(1),1.0,Reciprocating
5753,Goldwing,Fatal(1),1.0,Reciprocating
5766,Beemer,Non-Fatal,1.0,Reciprocating
5773,Siai-marchetti,Fatal(1),1.0,Reciprocating
5777,Rockwell,Fatal(3),1.0,Reciprocating
5785,Mitchell,Non-Fatal,1.0,Reciprocating
5805,Aerostar,Non-Fatal,2.0,Reciprocating
5817,Berwin,Non-Fatal,1.0,Unknown
5823,Camair Aircraft Corp.,Non-Fatal,2.0,Reciprocating
5846,Fairchild Hiller,Fatal(5),1.0,Turbo Shaft
5848,Ercoupe (eng & Research Corp.),Fatal(1),1.0,Reciprocating
5849,Lowther,Non-Fatal,1.0,Reciprocating
5855,Pierce,Non-Fatal,1.0,Reciprocating
5867,Aerospatiale,Fatal(5),1.0,Turbo Shaft
5868,Rockwell,Fatal(5),1.0,Reciprocating
5876,Burnett,Non-Fatal,1.0,Reciprocating
5881,Jodel,Non-Fatal,1.0,Reciprocating
5893,Casa,Incident,2.0,Turbo Prop
5909,Scarboro,Non-Fatal,1.0,Reciprocating
5912,Piper,Fatal(10),2.0,Reciprocating
5924,Corbin,Non-Fatal,1.0,Reciprocating
5942,Aerotek,Fatal(2),1.0,Reciprocating
5948,Arrow Aircraft Co.,Non-Fatal,1.0,Reciprocating
5953,Demeter,Non-Fatal,1.0,Reciprocating
5957,Douglas,Incident,3.0,Turbo Fan
5960,Lockheed,Fatal(11),2.0,Reciprocating
5963,Starduster,Non-Fatal,1.0,Reciprocating
5967,Leonard,Non-Fatal,1.0,Reciprocating
5968,Manta Products,Non-Fatal,1.0,Reciprocating
5988,Teratorn,Fatal(1),1.0,Reciprocating
5999,Grieme,Non-Fatal,1.0,Reciprocating
6017,Midwest Microlites -,Non-Fatal,1.0,Reciprocating
6025,Bird,Non-Fatal,1.0,Reciprocating
6036,Pioneer,Non-Fatal,1.0,Reciprocating
6046,Lockheed,Fatal(7),4.0,Turbo Prop
6048,Prell,Non-Fatal,1.0,Reciprocating
6061,Catto,Non-Fatal,1.0,Reciprocating
6063,Starflight,Non-Fatal,1.0,Reciprocating
6070,Stewart,Non-Fatal,1.0,Reciprocating
6090,Mockrud,Non-Fatal,1.0,Reciprocating
6105,Edwards,Non-Fatal,1.0,Reciprocating
6111,Schweizer,Non-Fatal,1.0,Reciprocating
6119,Condor,Fatal(1),1.0,Reciprocating
6125,Weedhopper,Non-Fatal,1.0,Unknown
6127,Waspair Tomcat,Fatal(1),1.0,Reciprocating
6144,West-heckman,Non-Fatal,1.0,Reciprocating
6152,Kuster,Non-Fatal,1.0,Reciprocating
6166,Johnston,Non-Fatal,1.0,Reciprocating
6173,Bucker Flugzeugbau,Non-Fatal,1.0,Reciprocating
6177,British Aircraft Corp. (bac),Non-Fatal,2.0,Turbo Jet
6179,Warren,Fatal(1),0.0,Unknown
6203,Semco,Non-Fatal,0.0,Unknown
6211,Stol Aircraft,Fatal(1),2.0,Reciprocating
6215,Pterodactyl/lambert,Fatal(1),1.0,Reciprocating
6223,Clarks Pitt Special,Non-Fatal,1.0,Reciprocating
6228,Eipper Quicksilver,Non-Fatal,1.0,Reciprocating
6233,Partenavia,Fatal(1),2.0,Reciprocating
6237,Airmass,Non-Fatal,1.0,Reciprocating
6254,Fairchild,Incident,2.0,Turbo Prop
6256,Wormley,Non-Fatal,1.0,Reciprocating
6258,Brandt,Non-Fatal,1.0,Reciprocating
6264,De Havilland,Fatal(1),2.0,Reciprocating
6271,American Aerolights,Fatal(2),1.0,Reciprocating
6272,Hiller,Fatal(1),1.0,Reciprocating
6273,Mbb,Fatal(2),2.0,Turbo Shaft
6275,Pitts,Fatal(2),1.0,Reciprocating
6293,Mortensen,Non-Fatal,1.0,Reciprocating
6299,Kruer,Non-Fatal,1.0,Reciprocating
6310,Anderson Aircraft Corp.,Non-Fatal,1.0,Reciprocating
6320,Teratorn,Non-Fatal,1.0,Reciprocating
6322,Fueslein,Non-Fatal,1.0,Reciprocating
6335,Cgs Aviation,Non-Fatal,1.0,Reciprocating
6344,Kecskes,Fatal(1),1.0,Reciprocating
6348,Jilek-smith Miniplane,Fatal(1),1.0,Reciprocating
6358,Gulfstream-schweizer,Non-Fatal,1.0,Reciprocating
6360,Lake,Fatal(2),1.0,Reciprocating
6372,Eipper Quicksiver E,Fatal(1),1.0,Reciprocating
6384,Robertson,Non-Fatal,1.0,Reciprocating
6385,Cgs,Fatal(1),1.0,Reciprocating
6389,Ercoupe (eng & Research Corp.),Fatal(2),1.0,Reciprocating
6392,Pilatus,Non-Fatal,1.0,Turbo Prop
6396,Aerotek,Non-Fatal,1.0,Reciprocating
6421,Rockwell,Fatal(1),2.0,Reciprocating
6468,Kimbal,Fatal(1),1.0,Reciprocating
6475,Hordemann,Non-Fatal,1.0,Reciprocating
6503,Globe,Fatal(1),1.0,Reciprocating
6513,Johnson,Fatal(1),1.0,Reciprocating
6523,Kemmeyer,Fatal(1),1.0,Reciprocating
6530,S.n.i.a.s.,Incident,1.0,Turbo Shaft
6533,Vector,Non-Fatal,1.0,Reciprocating
6542,Hawker Siddeley,Fatal(10),2.0,Turbo Prop
6559,Lanny Rundell,Non-Fatal,1.0,Reciprocating
6566,Boeing,Incident,1.0,Reciprocating
6568,Alderfer,Non-Fatal,1.0,Unknown
6592,British Aircraft Corp. (bac),Incident,2.0,Turbo Jet
6608,Mitsubishi,Fatal(3),2.0,Turbo Prop
6624,Deley Starduster,Fatal(1),1.0,Reciprocating
6641,Hight Smaragd,Fatal(2),1.0,Reciprocating
6648,Highcraft,Fatal(1),1.0,Reciprocating
6661,Schweizer,Non-Fatal,2.0,Reciprocating
6666,Popelka,Non-Fatal,1.0,Reciprocating
6669,Short Brothers,Fatal(1),2.0,Turbo Prop
6676,Embraer,Non-Fatal,2.0,Turbo Prop
6684,Baking,Non-Fatal,1.0,Reciprocating
6703,Wichawk,Non-Fatal,1.0,Reciprocating
6713,Jordan,Non-Fatal,1.0,Reciprocating
6715,Mitchell,Fatal(2),1.0,Reciprocating
6723,De Havilland,Fatal(4),1.0,Reciprocating
6727,Delts Wing Kites,Fatal(1),1.0,Reciprocating
6729,Quicksilver,Fatal(1),1.0,Reciprocating
6737,Airbus Industrie,Incident,2.0,Turbo Fan
6739,Convair,Non-Fatal,2.0,Turbo Prop
6741,Rand,Fatal(1),1.0,Reciprocating
6747,Bradey,Non-Fatal,1.0,Reciprocating
6751,Westland Helicopters,Non-Fatal,2.0,Turbo Shaft
6757,Aerotek,Fatal(1),1.0,Reciprocating
6758,Sikorsky,Incident,1.0,Turbo Shaft
6762,Morton,Non-Fatal,1.0,Reciprocating
6776,Teman,Non-Fatal,1.0,Unknown
6800,Jodel-bernier,Fatal(1),1.0,Reciprocating
6801,Gary Wilson,Non-Fatal,1.0,Reciprocating
6814,Rider,Non-Fatal,0.0,Unknown
6823,Lazair,Fatal(1),4.0,Reciprocating
6866,Grumman American,Fatal(4),1.0,Reciprocating
6881,Gulfstream,Non-Fatal,1.0,Turbo Fan
6886,Lockheed,Non-Fatal,3.0,Turbo Fan
6904,Beech,Fatal(8),2.0,Turbo Prop
6917,American,Fatal(2),1.0,Reciprocating
6929,Kepple,Non-Fatal,1.0,Reciprocating
6961,Skov-papworth,Non-Fatal,1.0,Reciprocating
6966,Paul S. Kerr,Non-Fatal,1.0,Reciprocating
6969,Motorized Gliders,Non-Fatal,1.0,Reciprocating
6992,Aerospatiale,Fatal(3),2.0,Turbo Shaft
7011,Temco,Non-Fatal,2.0,Reciprocating
7013,Vickers,Non-Fatal,2.0,Reciprocating
7015,Cessna,Fatal(1),2.0,Turbo Prop
7017,North American,Non-Fatal,2.0,Turbo Jet
7035,Mcdonnell Douglas,Incident,4.0,Turbo Fan
7038,Sabreliner Corp.,Incident,2.0,Turbo Fan
7055,Douglas,Incident,2.0,Turbo Jet
7056,Rygg,Fatal(1),1.0,Reciprocating
7070,Douglas,Fatal(1),2.0,Turbo Fan
7082,De Havilland,Non-Fatal,4.0,Turbo Prop
7146,Striplin,Fatal(1),1.0,Reciprocating
7156,Boeing,Incident,4.0,Turbo Jet
7169,Lockheed,Incident,4.0,Turbo Fan
7170,"Yaple, Robert G.",Fatal(2),1.0,Reciprocating
7175,Stinson,Fatal(1),1.0,Reciprocating
7177,Aerospatiale,Fatal(2),2.0,Turbo Shaft
7179,Young-losey,Non-Fatal,1.0,Reciprocating
7247,Jodell,Non-Fatal,1.0,Reciprocating
7258,Rockwell,Fatal(4),2.0,Turbo Prop
7280,Wells/rand,Fatal(2),1.0,Reciprocating
7307,British Aerospace,Incident,2.0,Turbo Fan
7336,Learjet,Fatal(6),2.0,Turbo Jet
7339,Dassault,Non-Fatal,2.0,Turbo Jet
7342,Bach,Non-Fatal,1.0,Reciprocating
7353,Gordon,Non-Fatal,1.0,Reciprocating
7372,Sikorsky,Fatal(1),2.0,Turbo Shaft
7386,Bryan,Non-Fatal,1.0,Reciprocating
7389,Shuey,Non-Fatal,1.0,Reciprocating
7390,Moseley/scorpion,Non-Fatal,1.0,Reciprocating
7432,Maupin,Fatal(1),0.0,Unknown
7445,Nihon,Incident,2.0,Turbo Prop
7452,Harvey,Non-Fatal,1.0,Reciprocating
7488,Panaplane,Fatal(1),2.0,Reciprocating
7496,Ultraclassics,Fatal(1),1.0,Reciprocating
7514,Vampire,Non-Fatal,1.0,Reciprocating
7541,Lockheed,Incident,4.0,Turbo Prop
7550,Chance Vought,Non-Fatal,1.0,Reciprocating
7555,Robert H. Low,Non-Fatal,1.0,Reciprocating
7562,Keith A Smith,Fatal(1),1.0,Reciprocating
7589,Aero Commander,Non-Fatal,2.0,Turbo Jet
7609,Gardner,Non-Fatal,1.0,Reciprocating
7610,Heinemann,Non-Fatal,1.0,Reciprocating
7612,Boeing,Non-Fatal,3.0,Turbo Jet
7625,Cessna,Fatal(6),2.0,Reciprocating
7645,American Aviation Corp. (aac),Fatal(1),1.0,Reciprocating
7647,Sigers,Fatal(1),1.0,Reciprocating
7652,Lockheed,Non-Fatal,1.0,Reciprocating
7658,Rockwell,Fatal(4),1.0,Reciprocating
7660,Teratorn Acft Inc.,Fatal(1),1.0,Reciprocating
7673,Eagle Balloons,Non-Fatal,0.0,Unknown
7682,American Aviation Corp. (aac),Non-Fatal,1.0,Reciprocating
7686,Gross,Fatal(1),1.0,Reciprocating
7713,Southern,Non-Fatal,1.0,Reciprocating
7719,Shark,Non-Fatal,1.0,Reciprocating
7727,Swanson/bensen,Fatal(1),1.0,Reciprocating
7737,Vari,Non-Fatal,1.0,Reciprocating
7740,Alleva,Fatal(2),1.0,Reciprocating
7743,Bengtson,Non-Fatal,1.0,Reciprocating
7759,Robert Mcdonnell,Non-Fatal,1.0,Reciprocating
7765,Short Brothers,Incident,2.0,Turbo Prop
7775,Lee M. Brown,Non-Fatal,1.0,Reciprocating
7794,Bowers,Non-Fatal,1.0,Reciprocating
7808,Birdman Enterprises,Non-Fatal,1.0,Reciprocating
7837,Gulfstream,Non-Fatal,2.0,Reciprocating
7843,Owen Robert R,Non-Fatal,1.0,Reciprocating
7845,Martin Company,Non-Fatal,1.0,Reciprocating
7864,Canadair,Non-Fatal,2.0,Turbo Fan
7881,Aerospatiale,Fatal(4),2.0,Turbo Shaft
7912,Grumman,Fatal(4),1.0,Reciprocating
7932,Bliss Corbin,Non-Fatal,1.0,Reciprocating
7934,Unknown,Non-Fatal,1.0,Reciprocating
7936,Sturges,Fatal(1),1.0,Reciprocating
7950,Folke Wulf,Fatal(1),1.0,Reciprocating
7951,American Aircraft,Non-Fatal,1.0,Reciprocating
7952,Fornaire,Non-Fatal,1.0,Reciprocating
7958,"Brown, R. M. Jr.",Fatal(1),1.0,Reciprocating
7978,Pzl-mielec,Non-Fatal,1.0,Reciprocating
7987,Bowen-powell,Fatal(1),1.0,Reciprocating
7990,"Beasley, Gerald L.",Non-Fatal,1.0,Reciprocating
7993,Mitsubishi,Fatal(1),2.0,Turbo Prop
8006,"Teratorn Aircraft, Inc.",Fatal(1),1.0,Reciprocating
8025,Douglas,Non-Fatal,4.0,Turbo Jet
8026,Piper,Fatal(6),2.0,Reciprocating
8057,William Freeman,Non-Fatal,1.0,Reciprocating
8059,Short Brothers,Non-Fatal,2.0,Turbo Prop
8071,Murphy-charles,Non-Fatal,1.0,Reciprocating
8078,Rally Rotec,Non-Fatal,1.0,Reciprocating
8088,Hall-cavalier,Non-Fatal,1.0,Reciprocating
8114,Christen Eagle,Non-Fatal,1.0,Reciprocating
8137,Pitts Special,Fatal(1),1.0,Reciprocating
8141,Soneria,Non-Fatal,1.0,Reciprocating
8143,Olson,Non-Fatal,1.0,Reciprocating
8150,Gable,Non-Fatal,1.0,Reciprocating
8164,Barnes,Incident,0.0,Unknown
8168,Colonial,Fatal(1),1.0,Reciprocating
8183,Rockwell,Fatal(1),1.0,Turbo Prop
8206,Consolidated Aeronautics Inc.,Fatal(1),1.0,Reciprocating
8209,British Aerospace,Incident,4.0,Turbo Fan
8249,De Havilland,Incident,4.0,Turbo Jet
8269,Ginn,Non-Fatal,1.0,Reciprocating
8274,Harper/cricri,Fatal(1),2.0,Reciprocating
8276,Rockwell,Fatal(1),1.0,Reciprocating
8293,Meyers,Non-Fatal,1.0,Reciprocating
8298,Brubaker,Fatal(1),1.0,Reciprocating
8300,Eipper,Fatal(1),4.0,Reciprocating
8335,Pietenpol-grega,Non-Fatal,1.0,Reciprocating
8381,Ultraflight,Fatal(1),2.0,Reciprocating
8389,Istenes,Non-Fatal,1.0,Reciprocating
8399,Wagner,Non-Fatal,1.0,Reciprocating
8422,Germany Wetherell,Non-Fatal,1.0,Reciprocating
8432,Lockheed,Fatal(4),4.0,Turbo Prop
8456,Leblanc,Non-Fatal,1.0,Reciprocating
8460,Jakel,Non-Fatal,1.0,Reciprocating
8475,Grumman,Incident,2.0,Reciprocating
8477,Molino Oy,Non-Fatal,1.0,Reciprocating
8494,Learjet,Fatal(3),2.0,Turbo Jet
8552,Lee,Non-Fatal,1.0,Reciprocating
8584,William A. Waas,Non-Fatal,1.0,Reciprocating
8589,Lycan,Non-Fatal,1.0,Reciprocating
8600,Stolp Starduster Corp.,Non-Fatal,1.0,Reciprocating
8604,Robert Judd,Non-Fatal,1.0,Reciprocating
8619,"Ultralight Flight, Inc.",Non-Fatal,1.0,Reciprocating
8627,Baugh-hubert,Fatal(1),1.0,Reciprocating
8654,Sorrell,Fatal(1),1.0,Reciprocating
8660,Snow,Non-Fatal,1.0,Turbo Prop
