,Make,Aircraft.Category,Number.of.Engines,Engine.Type,Injury.Severity
304,Aeronca,Airplane,1.0,Reciprocating,Non-Fatal
305,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
306,Piper,Airplane,1.0,Reciprocating,Non-Fatal
307,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
308,Aeronca,Airplane,1.0,Reciprocating,Fatal(1)
310,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
311,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
312,Bellanca,Airplane,1.0,Reciprocating,Non-Fatal
313,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
314,Piper,Airplane,1.0,Reciprocating,Non-Fatal
315,Piper,Airplane,1.0,Reciprocating,Non-Fatal
316,Piper,Airplane,1.0,Reciprocating,Non-Fatal
317,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
318,Porterfield,Airplane,1.0,Reciprocating,Fatal(2)
319,Piper,Airplane,1.0,Reciprocating,Non-Fatal
320,Boeing,Airplane,2.0,Turbo Jet,Incident
321,Cessna,Airplane,2.0,Reciprocating,Non-Fatal
322,Piper,Airplane,2.0,Reciprocating,Fatal(1)
323,Mooney,Airplane,1.0,Reciprocating,Non-Fatal
324,Piper,Airplane,1.0,Reciprocating,Non-Fatal
325,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
326,Piper,Airplane,1.0,Reciprocating,Non-Fatal
327,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
328,Beech,Airplane,1.0,Reciprocating,Non-Fatal
329,Piper,Airplane,1.0,Reciprocating,Non-Fatal
330,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
331,Bellanca,Airplane,1.0,Reciprocating,Non-Fatal
332,Piper,Airplane,2.0,Reciprocating,Non-Fatal
333,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
334,Piper,Airplane,2.0,Turbo Prop,Fatal(8)
335,Beech,Airplane,2.0,Turbo Prop,Non-Fatal
336,Nihon,Airplane,2.0,Turbo Prop,Non-Fatal
337,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
338,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
339,Piper,Airplane,1.0,Reciprocating,Non-Fatal
340,Bellanca,Airplane,1.0,Reciprocating,Non-Fatal
341,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
342,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
343,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
345,Piper,Airplane,2.0,Reciprocating,Non-Fatal
346,Embraer,Airplane,2.0,Turbo Prop,Incident
347,Beech,Airplane,1.0,Reciprocating,Fatal(1)
348,Piper,Airplane,1.0,Reciprocating,Fatal(1)
349,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
350,Great Lakes,Airplane,1.0,Reciprocating,Non-Fatal
351,Boeing,Airplane,3.0,Turbo Jet,Incident
352,Piper,Airplane,2.0,Reciprocating,Non-Fatal
354,Quickie,Airplane,1.0,Reciprocating,Non-Fatal
355,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
356,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
357,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
358,Beech,Airplane,2.0,Reciprocating,Non-Fatal
359,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
361,Cessna,Airplane,2.0,Reciprocating,Non-Fatal
362,Pitts,Airplane,1.0,Reciprocating,Non-Fatal
363,Cessna,Airplane,1.0,Reciprocating,Fatal(1)
364,Cessna,Airplane,1.0,Reciprocating,Fatal(2)
365,Piper,Airplane,1.0,Reciprocating,Fatal(1)
366,Piper,Airplane,1.0,Reciprocating,Non-Fatal
367,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
368,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
369,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
370,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
371,Beech,Airplane,2.0,Reciprocating,Non-Fatal
372,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
373,Grumman,Airplane,2.0,Reciprocating,Non-Fatal
374,Piper,Airplane,1.0,Reciprocating,Non-Fatal
375,Piper,Airplane,1.0,Reciprocating,Non-Fatal
376,Piper,Airplane,1.0,Reciprocating,Fatal(1)
377,De Havilland,Airplane,2.0,Turbo Prop,Fatal(1)
378,Grumman,Airplane,1.0,Reciprocating,Non-Fatal
379,Piper,Airplane,1.0,Reciprocating,Non-Fatal
380,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
381,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
382,Mooney,Airplane,1.0,Reciprocating,Non-Fatal
383,Bellanca,Airplane,1.0,Reciprocating,Fatal(2)
384,Piper,Airplane,1.0,Reciprocating,Non-Fatal
385,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
386,Fairchild Hiller,Airplane,2.0,Turbo Prop,Non-Fatal
387,Bellanca,Airplane,1.0,Reciprocating,Non-Fatal
389,Bellanca,Airplane,1.0,Reciprocating,Fatal(2)
390,Cessna,Airplane,2.0,Reciprocating,Non-Fatal
391,Grumman,Airplane,1.0,Reciprocating,Non-Fatal
392,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
393,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
394,Piper,Airplane,1.0,Reciprocating,Non-Fatal
395,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
396,Piper,Airplane,2.0,Reciprocating,Non-Fatal
397,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
399,Piper,Airplane,2.0,Reciprocating,Non-Fatal
400,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
401,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
402,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
403,Rockwell,Airplane,1.0,Reciprocating,Non-Fatal
404,Beech,Airplane,2.0,Reciprocating,Fatal(1)
405,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
406,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
407,Swearingen,Airplane,2.0,Turbo Prop,Incident
408,Weatherly,Airplane,1.0,Reciprocating,Non-Fatal
409,Cessna,Airplane,2.0,Reciprocating,Non-Fatal
410,Cessna,Airplane,2.0,Reciprocating,Non-Fatal
411,Eagle,Airplane,1.0,Reciprocating,Non-Fatal
412,Cessna,Airplane,1.0,Reciprocating,Fatal(4)
413,Piper,Airplane,1.0,Reciprocating,Non-Fatal
414,Cessna,Airplane,2.0,Reciprocating,Non-Fatal
415,Beech,Airplane,1.0,Reciprocating,Non-Fatal
416,Piper,Airplane,2.0,Reciprocating,Non-Fatal
417,Beech,Airplane,2.0,Reciprocating,Non-Fatal
419,Beech,Airplane,2.0,Turbo Prop,Incident
420,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
421,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
422,Piper,Airplane,1.0,Reciprocating,Non-Fatal
423,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
424,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
425,Aeronca,Airplane,1.0,Reciprocating,Incident
426,Beech,Airplane,1.0,Reciprocating,Fatal(1)
427,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
428,Piper,Airplane,1.0,Reciprocating,Non-Fatal
429,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
431,Cessna,Airplane,2.0,Reciprocating,Non-Fatal
432,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
434,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
435,Cessna,Airplane,1.0,Reciprocating,Fatal(6)
437,Piper,Airplane,1.0,Reciprocating,Fatal(4)
438,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
439,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
441,Piper,Airplane,1.0,Reciprocating,Non-Fatal
442,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
443,Starduster Ii,Airplane,1.0,Reciprocating,Non-Fatal
444,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
447,Homebuilt,Airplane,1.0,Reciprocating,Non-Fatal
448,Piper,Airplane,1.0,Reciprocating,Non-Fatal
449,Piper,Airplane,1.0,Reciprocating,Non-Fatal
450,Bellanca,Airplane,1.0,Reciprocating,Non-Fatal
451,Piper,Airplane,1.0,Reciprocating,Non-Fatal
453,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
454,Cessna,Airplane,1.0,Reciprocating,Fatal(2)
455,Ercoupe,Airplane,1.0,Reciprocating,Fatal(1)
457,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
458,Beech,Airplane,1.0,Reciprocating,Non-Fatal
459,Piper,Airplane,1.0,Reciprocating,Non-Fatal
460,Mooney,Airplane,1.0,Reciprocating,Non-Fatal
461,Smith Mini,Airplane,1.0,Reciprocating,Non-Fatal
462,Piper,Airplane,1.0,Reciprocating,Non-Fatal
464,Cessna,Airplane,1.0,Reciprocating,Fatal(1)
466,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
467,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
468,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
469,Piper,Airplane,1.0,Reciprocating,Non-Fatal
470,Beech,Airplane,1.0,Reciprocating,Non-Fatal
471,Piper,Airplane,1.0,Reciprocating,Fatal(1)
472,Cessna,Airplane,1.0,Reciprocating,Fatal(3)
473,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
474,Cessna,Airplane,2.0,Reciprocating,Non-Fatal
475,Mooney,Airplane,1.0,Reciprocating,Fatal(1)
476,Piper,Airplane,2.0,Reciprocating,Non-Fatal
477,Smith Aerostar,Airplane,2.0,Reciprocating,Non-Fatal
478,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
479,Beech,Airplane,1.0,Reciprocating,Non-Fatal
480,Cessna,Airplane,2.0,Reciprocating,Non-Fatal
481,Beech,Airplane,2.0,Reciprocating,Non-Fatal
482,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
484,Piper,Airplane,1.0,Reciprocating,Non-Fatal
485,Piper,Airplane,2.0,Reciprocating,Non-Fatal
487,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
488,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
489,Mooney,Airplane,1.0,Reciprocating,Non-Fatal
490,Taylorcraft,Airplane,1.0,Reciprocating,Non-Fatal
491,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
492,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
493,Cessna,Airplane,2.0,Reciprocating,Non-Fatal
494,Piper,Airplane,1.0,Reciprocating,Fatal(1)
495,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
496,Rockwell Intl,Airplane,1.0,Reciprocating,Non-Fatal
